Label,Michael,Jim,Pam,Dwight,Andy,Pete,Robert,Angela,Nellie,Jan,Holly,Oscar,Jo,Phyllis,Meredith,Ryan,David,Darryl,Deangelo,Kelly,Gabe,Clark,Creed,Charles,Toby,Erin,Roy,Karen,Stanley,Kevin
Season 7 Episode 11,23.55072464,9.057971014,12.5,6.884057971,5.072463768,0,0.905797101,4.710144928,0,0,9.057971014,2.173913043,0,2.355072464,1.811594203,1.992753623,0,4.166666667,0,2.536231884,1.086956522,0,0.724637681,0,4.528985507,3.260869565,0,0,0.905797101,2.717391304
Season 7 Episode 12,25,2.666666667,10.33333333,11.33333333,7,0,0,2.333333333,0,0,6.333333333,1,0,3,0.333333333,2,0,7,0,3.333333333,0.666666667,0,4.333333333,0,0,7,0,0,0,6.333333333
Season 7 Episode 13,14.34108527,9.302325581,6.976744186,7.364341085,19.76744186,0,0,0,0,0,4.651162791,5.426356589,0,1.162790698,0,3.100775194,4.651162791,1.162790698,0,4.651162791,2.713178295,0,0.775193798,0,0,9.689922481,0,0,0.775193798,3.488372093
Season 7 Episode 14,15.10791367,11.51079137,12.94964029,9.352517986,5.035971223,0,0,0.35971223,0,0,10.79136691,4.316546763,0,3.597122302,1.079136691,2.158273381,0,2.877697842,0,3.237410072,8.992805755,0,0,0,0,5.035971223,0,0,1.079136691,2.517985612
Season 7 Episode 15,21.0982659,6.647398844,6.936416185,6.936416185,10.69364162,0,0,2.601156069,0,0,10.98265896,4.913294798,0,0.867052023,0.289017341,1.734104046,0,4.624277457,0,0.289017341,6.069364162,0,0.289017341,0,0,10.98265896,0,0,0.289017341,3.757225434
Season 7 Episode 16,59.05511811,4.724409449,6.299212598,3.149606299,1.57480315,0,0,0,0,3.149606299,11.81102362,1.57480315,0,0,0,1.57480315,0,0,0,0.787401575,0,0,0.787401575,0,0,0.787401575,0,1.57480315,0,3.149606299
Season 7 Episode 17,20.81784387,13.75464684,13.38289963,15.24163569,10.78066914,0,0,0.371747212,0,0,11.89591078,0.371747212,0,0.371747212,1.115241636,1.486988848,0,0,0,1.115241636,0.371747212,0,0,0,0,3.717472119,0,0,0.371747212,4.832713755
Season 7 Episode 18,25.80645161,8.602150538,11.46953405,11.11111111,6.093189964,0,0,0.358422939,0,0,16.84587814,2.508960573,0,1.075268817,1.075268817,3.225806452,0,3.584229391,0,1.075268817,0.358422939,0,0,0,0,0,0,0,0.358422939,6.451612903
Season 7 Episode 19,28.69198312,4.219409283,3.375527426,4.219409283,5.063291139,0,0,1.687763713,0,0,0,2.109704641,0,0.843881857,0.421940928,0.843881857,0,3.375527426,34.17721519,2.109704641,1.687763713,0,0,0,0,4.219409283,0,0,1.265822785,1.687763713
Season 7 Episode 20,42.93478261,12.5,8.152173913,7.065217391,2.173913043,0,0,0.543478261,0,0,0,3.260869565,0,1.086956522,3.260869565,3.260869565,0,1.630434783,0,0,1.086956522,0,0.543478261,0,1.086956522,6.52173913,0,0,1.630434783,3.260869565
Season 7 Episode 21,38.9261745,6.040268456,6.711409396,5.369127517,8.053691275,0,0,4.026845638,0,0,2.013422819,2.013422819,0,6.040268456,2.013422819,1.006711409,0,1.006711409,0,1.006711409,3.355704698,0,0.67114094,0,1.677852349,4.026845638,0,0,2.348993289,3.691275168
Season 7 Episode 22,0,15.625,9.375,7.8125,3.515625,0,0,1.5625,0,0,0,0.78125,0,1.5625,0,5.859375,0,3.125,35.15625,5.859375,3.125,0,0,0,0.390625,1.171875,0,0,0,5.078125
Season 7 Episode 23,0,11.2,4.4,29.6,10.4,0,0,4.4,0,0,0,1.6,5.6,2,0.4,0.8,0,2,0,2.4,8,0,0.8,0,2.4,5.2,0,0,0.8,8
Season 7 Episode 24,0,19.73684211,7.01754386,9.649122807,5.701754386,0,2.631578947,2.412280702,1.973684211,0,0,4.824561404,6.140350877,4.385964912,1.315789474,2.412280702,0,5.921052632,0,3.728070175,6.578947368,0,3.728070175,0,2.850877193,5.043859649,0,0,0.877192982,3.070175439
Season 8 Episode 1,0,14.73214286,10.26785714,12.5,22.32142857,0,12.94642857,2.678571429,0,0,0,1.785714286,0,4.464285714,2.232142857,0.446428571,0,1.785714286,0,2.232142857,0,0,0,0,0.446428571,4.017857143,0,0,3.571428571,3.571428571
Season 8 Episode 2,0,14.07942238,11.9133574,7.581227437,25.99277978,0,8.664259928,5.054151625,0,0,0,2.527075812,0,2.527075812,1.805054152,1.444043321,0,2.527075812,0,1.083032491,0,0,0,0,0,4.332129964,0,0,1.805054152,8.664259928
Season 8 Episode 3,0,15.63636364,8.363636364,11.27272727,22.90909091,0,0,1.090909091,0,0,0,6.545454545,0,2.181818182,1.454545455,1.818181818,0,17.81818182,0,2.181818182,0,0,0.363636364,0,0.363636364,2.909090909,0,0,0,5.090909091
